LOCATION,ROOMS,Date,Avg. Daily Rate,Occupancy Rate
Centro,1,Jan,95.88,0.6
Centro,1,Jan,88.31,0.56
Centro,1,Jan,82.42,0.51
Centro,1,Jan,78.22,0.45
Centro,1,Jan,75.69,0.39
Centro,1,Jan,74.01,0.36
Centro,1,Jan,70.65,0.32
Centro,1,Jan,68.12,0.3
Centro,1,Jan,65.6,0.32
Centro,1,Jan,63.92,0.34
Centro,1,Jan,64.76,0.4
Centro,1,Jan,68.96,0.52
Centro,1,Jan,70.65,0.55
Centro,1,Jan,66.44,0.4
Centro,1,Jan,63.92,0.36
Centro,1,Jan,63.08,0.41
Centro,1,Jan,64.76,0.49
Centro,1,Jan,67.28,0.56
Centro,1,Jan,72.33,0.68
Centro,1,Jan,74.01,0.69
Centro,1,Jan,68.12,0.41
Centro,1,Jan,63.92,0.33
Centro,1,Jan,63.08,0.34
Centro,1,Jan,62.23,0.37
Centro,1,Jan,63.08,0.43
Centro,1,Jan,69.8,0.61
Centro,1,Jan,72.33,0.64
Centro,1,Jan,68.12,0.42
Centro,1,Jan,66.44,0.33
Centro,1,Jan,63.92,0.33
Centro,1,Jan,62.23,0.35
Centro,1,Feb,63.92,0.43
Centro,1,Feb,72.33,0.64
Centro,1,Feb,74.85,0.68
Centro,1,Feb,69.8,0.41
Centro,1,Feb,63.92,0.31
Centro,1,Feb,63.08,0.3
Centro,1,Feb,63.08,0.34
Centro,1,Feb,64.76,0.43
Centro,1,Feb,73.17,0.64
Centro,1,Feb,77.37,0.71
Centro,1,Feb,73.17,0.53
Centro,1,Feb,69.8,0.47
Centro,1,Feb,67.28,0.49
Centro,1,Feb,70.65,0.55
Centro,1,Feb,68.96,0.57
Centro,1,Feb,74.85,0.71
Centro,1,Feb,77.37,0.71
Centro,1,Feb,71.49,0.45
Centro,1,Feb,67.28,0.38
Centro,1,Feb,65.6,0.41
Centro,1,Feb,67.28,0.5
Centro,1,Feb,70.65,0.59
Centro,1,Feb,77.37,0.78
Centro,1,Feb,81.58,0.8
Centro,1,Feb,73.17,0.48
Centro,1,Feb,68.96,0.38
Centro,1,Feb,64.76,0.37
Centro,1,Feb,63.92,0.4
Centro,1,Mar,66.44,0.46
Centro,1,Mar,74.85,0.65
Centro,1,Mar,77.37,0.68
Centro,1,Mar,72.33,0.45
Centro,1,Mar,68.12,0.37
Centro,1,Mar,67.28,0.37
Centro,1,Mar,66.44,0.41
Centro,1,Mar,68.96,0.51
Centro,1,Mar,75.69,0.66
Centro,1,Mar,79.06,0.68
Centro,1,Mar,74.01,0.45
Centro,1,Mar,68.96,0.38
Centro,1,Mar,67.28,0.38
Centro,1,Mar,67.28,0.42
Centro,1,Mar,70.65,0.52
Centro,1,Mar,78.22,0.71
Centro,1,Mar,82.42,0.74
Centro,1,Mar,76.53,0.49
Centro,1,Mar,69.8,0.38
Centro,1,Mar,66.44,0.34
Centro,1,Mar,65.6,0.36
Centro,1,Mar,67.28,0.43
Centro,1,Mar,74.85,0.56
Centro,1,Mar,79.06,0.63
Centro,1,Mar,75.69,0.52
Centro,1,Mar,74.01,0.5
Centro,1,Mar,74.01,0.52
Centro,1,Mar,77.37,0.56
Centro,1,Mar,84.1,0.73
Centro,1,Mar,89.99,0.78
Centro,1,Mar,92.51,0.76
Centro,1,Apr,89.15,0.58
Centro,1,Apr,82.42,0.44
Centro,1,Apr,77.37,0.46
Centro,1,Apr,75.69,0.52
Centro,1,Apr,77.37,0.61
Centro,1,Apr,82.42,0.72
Centro,1,Apr,84.1,0.72
Centro,1,Apr,79.06,0.53
Centro,1,Apr,74.85,0.45
Centro,1,Apr,73.17,0.47
Centro,1,Apr,74.01,0.53
Centro,1,Apr,75.69,0.56
Centro,1,Apr,81.58,0.69
Centro,1,Apr,84.94,0.69
Centro,1,Apr,80.74,0.5
Centro,1,Apr,78.22,0.48
Centro,1,Apr,75.69,0.51
Centro,1,Apr,75.69,0.54
Centro,1,Apr,78.22,0.6
Centro,1,Apr,88.31,0.77
Centro,1,Apr,93.35,0.78
Centro,1,Apr,86.63,0.64
Centro,1,Apr,82.42,0.55
Centro,1,Apr,77.37,0.51
Centro,1,Apr,75.69,0.47
Centro,1,Apr,77.37,0.53
Centro,1,Apr,84.1,0.68
Centro,1,Apr,90.83,0.79
Centro,1,Apr,89.99,0.73
Centro,1,Apr,87.47,0.68
Centro,1,May,82.42,0.56
Centro,1,May,79.06,0.51
Centro,1,May,78.22,0.57
Centro,1,May,84.1,0.69
Centro,1,May,87.47,0.72
Centro,1,May,83.26,0.58
Centro,1,May,79.9,0.57
Centro,1,May,77.37,0.6
Centro,1,May,78.22,0.65
Centro,1,May,79.9,0.69
Centro,1,May,85.78,0.76
Centro,1,May,88.31,0.76
Centro,1,May,83.26,0.58
Centro,1,May,77.37,0.49
Centro,1,May,75.69,0.46
Centro,1,May,74.01,0.5
Centro,1,May,75.69,0.6
Centro,1,May,84.1,0.75
Centro,1,May,88.31,0.78
Centro,1,May,83.26,0.62
Centro,1,May,77.37,0.53
Centro,1,May,74.01,0.52
Centro,1,May,74.85,0.57
Centro,1,May,76.53,0.64
Centro,1,May,84.1,0.75
Centro,1,May,87.47,0.77
Centro,1,May,82.42,0.6
Centro,1,May,76.53,0.54
Centro,1,May,74.01,0.53
Centro,1,May,74.01,0.54
Centro,1,May,74.85,0.59
Centro,1,Jun,80.74,0.7
Centro,1,Jun,84.1,0.72
Centro,1,Jun,79.9,0.55
Centro,1,Jun,75.69,0.49
Centro,1,Jun,73.17,0.48
Centro,1,Jun,74.01,0.52
Centro,1,Jun,74.85,0.58
Centro,1,Jun,80.74,0.68
Centro,1,Jun,83.26,0.7
Centro,1,Jun,79.06,0.54
Centro,1,Jun,75.69,0.48
Centro,1,Jun,73.17,0.47
Centro,1,Jun,73.17,0.5
Centro,1,Jun,74.85,0.55
Centro,1,Jun,80.74,0.64
Centro,1,Jun,82.42,0.66
Centro,1,Jun,79.06,0.52
Centro,1,Jun,75.69,0.48
Centro,1,Jun,74.85,0.5
Centro,1,Jun,73.17,0.52
Centro,1,Jun,74.85,0.57
Centro,1,Jun,79.9,0.7
Centro,1,Jun,83.26,0.71
Centro,1,Jun,79.06,0.54
Centro,1,Jun,75.69,0.49
Centro,1,Jun,75.69,0.51
Centro,1,Jun,74.85,0.53
Centro,1,Jun,76.53,0.61
Centro,1,Jun,80.74,0.65
Centro,1,Jun,83.26,0.64
Centro,1,Jul,80.74,0.48
Centro,1,Jul,78.22,0.46
Centro,1,Jul,75.69,0.48
Centro,1,Jul,75.69,0.52
Centro,1,Jul,81.58,0.57
Centro,1,Jul,88.31,0.66
Centro,1,Jul,91.67,0.68
Centro,1,Jul,88.31,0.55
Centro,1,Jul,82.42,0.49
Centro,1,Jul,78.22,0.51
Centro,1,Jul,77.37,0.61
Centro,1,Jul,79.06,0.7
Centro,1,Jul,81.58,0.76
Centro,1,Jul,83.26,0.76
Centro,1,Jul,79.06,0.53
Centro,1,Jul,72.33,0.46
Centro,1,Jul,69.8,0.45
Centro,1,Jul,68.96,0.47
Centro,1,Jul,68.96,0.49
Centro,1,Jul,69.8,0.52
Centro,1,Jul,70.65,0.51
Centro,1,Jul,68.96,0.44
Centro,1,Jul,68.12,0.42
Centro,1,Jul,66.44,0.41
Centro,1,Jul,65.6,0.41
Centro,1,Jul,64.76,0.43
Centro,1,Jul,65.6,0.44
Centro,1,Jul,67.28,0.45
Centro,1,Jul,65.6,0.41
Centro,1,Jul,63.92,0.38
Centro,1,Jul,63.08,0.36
Centro,1,Aug,61.39,0.37
Centro,1,Aug,60.55,0.4
Centro,1,Aug,63.08,0.43
Centro,1,Aug,65.6,0.45
Centro,1,Aug,63.92,0.43
Centro,1,Aug,63.92,0.44
Centro,1,Aug,63.08,0.44
Centro,1,Aug,62.23,0.44
Centro,1,Aug,62.23,0.44
Centro,1,Aug,62.23,0.44
Centro,1,Aug,64.76,0.46
Centro,1,Aug,64.76,0.43
Centro,1,Aug,63.92,0.43
Centro,1,Aug,61.39,0.42
Centro,1,Aug,61.39,0.43
Centro,1,Aug,60.55,0.44
Centro,1,Aug,62.23,0.46
Centro,1,Aug,63.08,0.49
Centro,1,Aug,62.23,0.44
Centro,1,Aug,61.39,0.44
Centro,1,Aug,60.55,0.44
Centro,1,Aug,58.87,0.44
Centro,1,Aug,59.71,0.45
Centro,1,Aug,61.39,0.47
Centro,1,Aug,63.08,0.47
Centro,1,Aug,62.23,0.44
Centro,1,Aug,60.55,0.42
Centro,1,Aug,59.71,0.43
Centro,1,Aug,58.03,0.43
Centro,1,Aug,59.71,0.45
Centro,1,Aug,62.23,0.48
Centro,1,Sep,65.6,0.5
Centro,1,Sep,64.76,0.44
Centro,1,Sep,64.76,0.47
Centro,1,Sep,63.92,0.49
Centro,1,Sep,64.76,0.53
Centro,1,Sep,66.44,0.59
Centro,1,Sep,71.49,0.65
Centro,1,Sep,74.85,0.68
Centro,1,Sep,72.33,0.56
Centro,1,Sep,68.96,0.53
Centro,1,Sep,68.12,0.55
Centro,1,Sep,68.96,0.59
Centro,1,Sep,69.8,0.66
Centro,1,Sep,74.85,0.73
Centro,1,Sep,77.37,0.75
Centro,1,Sep,74.01,0.61
Centro,1,Sep,70.65,0.58
Centro,1,Sep,70.65,0.62
Centro,1,Sep,71.49,0.69
Centro,1,Sep,73.17,0.74
Centro,1,Sep,78.22,0.8
Centro,1,Sep,80.74,0.81
Centro,1,Sep,76.53,0.67
Centro,1,Sep,73.17,0.66
Centro,1,Sep,72.33,0.7
Centro,1,Sep,71.49,0.73
Centro,1,Sep,73.17,0.75
Centro,1,Sep,78.22,0.8
Centro,1,Sep,80.74,0.81
Centro,1,Sep,75.69,0.66
Centro,1,Oct,73.17,0.62
Centro,1,Oct,73.17,0.67
Centro,1,Oct,73.17,0.71
Centro,1,Oct,74.85,0.75
Centro,1,Oct,80.74,0.79
Centro,1,Oct,84.94,0.82
Centro,1,Oct,83.26,0.74
Centro,1,Oct,82.42,0.81
Centro,1,Oct,82.42,0.81
Centro,1,Oct,81.58,0.78
Centro,1,Oct,82.42,0.78
Centro,1,Oct,87.47,0.82
Centro,1,Oct,89.15,0.8
Centro,1,Oct,81.58,0.57
Centro,1,Oct,75.69,0.55
Centro,1,Oct,73.17,0.59
Centro,1,Oct,73.17,0.65
Centro,1,Oct,74.01,0.72
Centro,1,Oct,80.74,0.81
Centro,1,Oct,84.1,0.83
Centro,1,Oct,79.9,0.67
Centro,1,Oct,78.22,0.75
Centro,1,Oct,79.06,0.82
Centro,1,Oct,79.06,0.81
Centro,1,Oct,78.22,0.77
Centro,1,Oct,81.58,0.78
Centro,1,Oct,83.26,0.78
Centro,1,Oct,77.37,0.6
Centro,1,Oct,73.17,0.53
Centro,1,Oct,72.33,0.53
Centro,1,Oct,74.85,0.65
Centro,1,Nov,79.9,0.8
Centro,1,Nov,84.94,0.83
Centro,1,Nov,85.78,0.81
Centro,1,Nov,78.22,0.49
Centro,1,Nov,72.33,0.43
Centro,1,Nov,67.28,0.43
Centro,1,Nov,65.6,0.45
Centro,1,Nov,67.28,0.55
Centro,1,Nov,74.01,0.72
Centro,1,Nov,75.69,0.73
Centro,1,Nov,70.65,0.5
Centro,1,Nov,66.44,0.45
Centro,1,Nov,64.76,0.47
Centro,1,Nov,64.76,0.54
Centro,1,Nov,67.28,0.62
Centro,1,Nov,74.01,0.78
Centro,1,Nov,77.37,0.8
Centro,1,Nov,70.65,0.53
Centro,1,Nov,67.28,0.46
Centro,1,Nov,64.76,0.45
Centro,1,Nov,64.76,0.51
Centro,1,Nov,65.6,0.59
Centro,1,Nov,74.01,0.79
Centro,1,Nov,77.37,0.8
Centro,1,Nov,71.49,0.51
Centro,1,Nov,66.44,0.4
Centro,1,Nov,63.92,0.4
Centro,1,Nov,62.23,0.45
Centro,1,Nov,63.08,0.51
Centro,1,Nov,71.49,0.69
Centro,1,Dec,75.69,0.72
Centro,1,Dec,69.8,0.43
Centro,1,Dec,66.44,0.32
Centro,1,Dec,63.92,0.32
Centro,1,Dec,68.96,0.47
Centro,1,Dec,83.26,0.74
Centro,1,Dec,90.83,0.82
Centro,1,Dec,93.35,0.81
Centro,1,Dec,82.42,0.39
Centro,1,Dec,70.65,0.29
Centro,1,Dec,64.76,0.32
Centro,1,Dec,63.92,0.38
Centro,1,Dec,65.6,0.46
Centro,1,Dec,73.17,0.65
Centro,1,Dec,76.53,0.69
Centro,1,Dec,69.8,0.42
Centro,1,Dec,64.76,0.36
Centro,1,Dec,63.08,0.35
Centro,1,Dec,62.23,0.36
Centro,1,Dec,62.23,0.38
Centro,1,Dec,67.28,0.43
Centro,1,Dec,71.49,0.48
Centro,1,Dec,69.8,0.42
Centro,1,Dec,72.33,0.43
Centro,1,Dec,74.01,0.46
Centro,1,Dec,78.22,0.59
Centro,1,Dec,82.42,0.69
Centro,1,Dec,89.15,0.74
Centro,1,Dec,95.88,0.77
Centro,1,Dec,99.24,0.73
Centro,1,Dec,105.13,0.74
Centro,1,Jan,100.08,0.65
Centro,1,Jan,90.83,0.6
Centro,1,Jan,82.42,0.55
Centro,1,Jan,77.37,0.49
Centro,1,Jan,75.69,0.43
Centro,1,Jan,71.49,0.37
Centro,1,Jan,68.12,0.33
Centro,1,Jan,63.92,0.34
Centro,1,Jan,62.23,0.36
Centro,1,Jan,61.39,0.39
Centro,1,Jan,65.6,0.49
Centro,1,Jan,67.28,0.51
Centro,1,Jan,63.92,0.4
Centro,1,Jan,61.39,0.35
Centro,1,Jan,59.71,0.36
Centro,1,Jan,60.55,0.39
Centro,1,Jan,59.71,0.45
Centro,1,Jan,66.44,0.62
Centro,1,Jan,69.8,0.67
Centro,1,Jan,66.44,0.5
Centro,1,Jan,62.23,0.43
Centro,1,Jan,62.23,0.5
Centro,1,Jan,63.08,0.58
Centro,1,Jan,64.76,0.64
Centro,1,Jan,70.65,0.76
Centro,1,Jan,73.17,0.76
Centro,1,Jan,66.44,0.47
Centro,1,Jan,62.23,0.39
Centro,1,Jan,59.71,0.38
Centro,1,Jan,58.87,0.38
Centro,1,Jan,61.39,0.45
Centro,1,Feb,68.96,0.61
Centro,1,Feb,72.33,0.65
Centro,1,Feb,66.44,0.45
Centro,1,Feb,63.08,0.39
Centro,1,Feb,61.39,0.39
Centro,1,Feb,60.55,0.42
Centro,1,Feb,62.23,0.52
Centro,1,Feb,69.8,0.72
Centro,1,Feb,73.17,0.75
Centro,1,Feb,67.28,0.51
Centro,1,Feb,63.08,0.42
Centro,1,Feb,61.39,0.42
Centro,1,Feb,61.39,0.44
Centro,1,Feb,64.76,0.56
Centro,1,Feb,71.49,0.75
Centro,1,Feb,75.69,0.79
Centro,1,Feb,70.65,0.55
Centro,1,Feb,65.6,0.5
Centro,1,Feb,63.92,0.51
Centro,1,Feb,63.92,0.54
Centro,1,Feb,63.92,0.6
Centro,1,Feb,69.8,0.75
Centro,1,Feb,74.01,0.78
Centro,1,Feb,69.8,0.54
Centro,1,Feb,65.6,0.5
Centro,1,Feb,63.92,0.51
Centro,1,Feb,64.76,0.63
Centro,1,Feb,68.12,0.72
Centro,1,Mar,76.53,0.84
Centro,1,Mar,81.58,0.85
Centro,1,Mar,77.37,0.65
Centro,1,Mar,72.33,0.57
Centro,1,Mar,68.96,0.52
Centro,1,Mar,65.6,0.5
Centro,1,Mar,66.44,0.57
Centro,1,Mar,73.17,0.71
Centro,1,Mar,75.69,0.73
Centro,1,Mar,71.49,0.53
Centro,1,Mar,66.44,0.48
Centro,1,Mar,64.76,0.47
Centro,1,Mar,63.92,0.52
Centro,1,Mar,66.44,0.61
Centro,1,Mar,75.69,0.78
Centro,1,Mar,80.74,0.84
Centro,1,Mar,75.69,0.63
Centro,1,Mar,71.49,0.51
Centro,1,Mar,65.6,0.44
Centro,1,Mar,64.76,0.49
Centro,1,Mar,66.44,0.61
Centro,1,Mar,74.85,0.77
Centro,1,Mar,77.37,0.79
Centro,1,Mar,73.17,0.57
Centro,1,Mar,68.12,0.49
Centro,1,Mar,64.76,0.5
Centro,1,Mar,64.76,0.54
Centro,1,Mar,66.44,0.61
Centro,1,Mar,74.85,0.76
Centro,1,Mar,78.22,0.77
Centro,1,Mar,73.17,0.56
Centro,1,Apr,68.96,0.51
Centro,1,Apr,67.28,0.48
Centro,1,Apr,66.44,0.54
Centro,1,Apr,69.8,0.63
Centro,1,Apr,78.22,0.77
Centro,1,Apr,81.58,0.78
Centro,1,Apr,75.69,0.6
Centro,1,Apr,71.49,0.55
Centro,1,Apr,68.96,0.52
Centro,1,Apr,67.28,0.53
Centro,1,Apr,68.96,0.57
Centro,1,Apr,76.53,0.69
Centro,1,Apr,80.74,0.74
Centro,1,Apr,77.37,0.65
Centro,1,Apr,75.69,0.64
Centro,1,Apr,74.01,0.63
Centro,1,Apr,77.37,0.67
Centro,1,Apr,84.1,0.77
Centro,1,Apr,90.83,0.8
Centro,1,Apr,94.2,0.79
Centro,1,Apr,89.99,0.65
Centro,1,Apr,80.74,0.54
Centro,1,Apr,74.85,0.55
Centro,1,Apr,74.01,0.64
Centro,1,Apr,75.69,0.73
Centro,1,Apr,83.26,0.8
Centro,1,Apr,84.94,0.79
Centro,1,Apr,79.9,0.63
Centro,1,Apr,75.69,0.55
Centro,1,Apr,73.17,0.56
Centro,1,May,74.85,0.62
Centro,1,May,77.37,0.68
Centro,1,May,85.78,0.79
Centro,1,May,87.47,0.75
Centro,1,May,82.42,0.58
Centro,1,May,75.69,0.53
Centro,1,May,73.17,0.57
Centro,1,May,73.17,0.67
Centro,1,May,74.85,0.71
Centro,1,May,82.42,0.79
Centro,1,May,86.63,0.79
Centro,1,May,81.58,0.6
Centro,1,May,76.53,0.54
Centro,1,May,73.17,0.52
Centro,1,May,70.65,0.55
Centro,1,May,74.85,0.63
Centro,1,May,83.26,0.77
Centro,1,May,86.63,0.79
Centro,1,May,82.42,0.61
Centro,1,May,77.37,0.57
Centro,1,May,74.01,0.58
Centro,1,May,74.01,0.65
Centro,1,May,75.69,0.68
Centro,1,May,84.1,0.75
Centro,1,May,88.31,0.76
Centro,1,May,84.1,0.6
Centro,1,May,77.37,0.56
Centro,1,May,75.69,0.58
Centro,1,May,78.22,0.63
Centro,1,May,86.63,0.65
Centro,1,May,136.25,0.63
Centro,1,Jun,170.73,0.65
Centro,1,Jun,127.84,0.59
Centro,1,Jun,98.4,0.54
Centro,1,Jun,86.63,0.55
Centro,1,Jun,79.06,0.59
Centro,1,Jun,79.06,0.66
Centro,1,Jun,85.78,0.75
Centro,1,Jun,88.31,0.77
Centro,1,Jun,88.31,0.68
Centro,1,Jun,83.26,0.66
Centro,1,Jun,81.58,0.69
Centro,1,Jun,82.42,0.7
Centro,1,Jun,81.58,0.71
Centro,1,Jun,89.15,0.77
Centro,1,Jun,91.67,0.76
Centro,1,Jun,82.42,0.59
Centro,1,Jun,76.53,0.54
Centro,1,Jun,74.01,0.56
Centro,1,Jun,74.01,0.61
Centro,1,Jun,74.85,0.65
Centro,1,Jun,79.9,0.71
Centro,1,Jun,84.1,0.74
Centro,1,Jun,80.74,0.61
Centro,1,Jun,75.69,0.56
Centro,1,Jun,73.17,0.56
Centro,1,Jun,72.33,0.59
Centro,1,Jun,73.17,0.6
Centro,1,Jun,80.74,0.66
Centro,1,Jun,84.94,0.67
Centro,1,Jun,81.58,0.52
Centro,1,Jul,77.37,0.49
Centro,1,Jul,75.69,0.5
Centro,1,Jul,76.53,0.54
Centro,1,Jul,79.9,0.59
Centro,1,Jul,89.15,0.67
Centro,1,Jul,94.2,0.69
Centro,1,Jul,90.83,0.59
Centro,1,Jul,80.74,0.51
Centro,1,Jul,75.69,0.51
Centro,1,Jul,72.33,0.54
Centro,1,Jul,71.49,0.56
Centro,1,Jul,74.01,0.59
Centro,1,Jul,76.53,0.57
Centro,1,Jul,73.17,0.47
Centro,1,Jul,69.8,0.45
Centro,1,Jul,68.12,0.47
Centro,1,Jul,67.28,0.49
Centro,1,Jul,67.28,0.5
Centro,1,Jul,69.8,0.52
Centro,1,Jul,70.65,0.51
Centro,1,Jul,68.12,0.44
Centro,1,Jul,66.44,0.42
Centro,1,Jul,64.76,0.42
Centro,1,Jul,64.76,0.42
Centro,1,Jul,64.76,0.45
Centro,1,Jul,67.28,0.51
Centro,1,Jul,68.96,0.49
Centro,1,Jul,67.28,0.41
Centro,1,Jul,65.6,0.39
Centro,1,Jul,63.08,0.37
Centro,1,Jul,62.23,0.36
Centro,1,Aug,61.39,0.37
Centro,1,Aug,63.92,0.4
Centro,1,Aug,65.6,0.42
Centro,1,Aug,63.92,0.4
Centro,1,Aug,63.08,0.42
Centro,1,Aug,62.23,0.44
Centro,1,Aug,62.23,0.44
Centro,1,Aug,62.23,0.45
Centro,1,Aug,63.08,0.45
Centro,1,Aug,64.76,0.46
Centro,1,Aug,63.92,0.42
Centro,1,Aug,62.23,0.43
Centro,1,Aug,61.39,0.43
Centro,1,Aug,60.55,0.46
Centro,1,Aug,61.39,0.47
Centro,1,Aug,63.08,0.48
Centro,1,Aug,65.6,0.48
Centro,1,Aug,63.92,0.43
Centro,1,Aug,60.55,0.43
Centro,1,Aug,59.71,0.45
Centro,1,Aug,58.87,0.46
Centro,1,Aug,58.87,0.48
Centro,1,Aug,60.55,0.48
Centro,1,Aug,63.08,0.48
Centro,1,Aug,62.23,0.43
Centro,1,Aug,61.39,0.43
Centro,1,Aug,59.71,0.43
Centro,1,Aug,58.03,0.43
Centro,1,Aug,58.03,0.44
Centro,1,Aug,61.39,0.45
Centro,1,Aug,63.92,0.46
Centro,1,Sep,64.76,0.43
Centro,1,Sep,65.6,0.48
Centro,1,Sep,65.6,0.52
Centro,1,Sep,65.6,0.54
Centro,1,Sep,68.12,0.59
Centro,1,Sep,72.33,0.63
Centro,1,Sep,74.85,0.64
Centro,1,Sep,73.17,0.55
Centro,1,Sep,70.65,0.55
Centro,1,Sep,68.96,0.58
Centro,1,Sep,71.49,0.64
Centro,1,Sep,73.17,0.69
Centro,1,Sep,80.74,0.74
Centro,1,Sep,84.1,0.75
Centro,1,Sep,78.22,0.61
Centro,1,Sep,75.69,0.62
Centro,1,Sep,74.01,0.63
Centro,1,Sep,74.01,0.67
Centro,1,Sep,75.69,0.69
Centro,1,Sep,83.26,0.75
Centro,1,Sep,86.63,0.76
Centro,1,Sep,81.58,0.64
Centro,1,Sep,77.37,0.65
Centro,1,Sep,75.69,0.67
Centro,1,Sep,76.53,0.71
Centro,1,Sep,78.22,0.71
Centro,1,Sep,88.31,0.74
Centro,1,Sep,95.04,0.74
Centro,1,Sep,89.99,0.68
Centro,1,Sep,86.63,0.7
Centro,1,Oct,85.78,0.73
Centro,1,Oct,81.58,0.7
Centro,1,Oct,83.26,0.71
Centro,1,Oct,89.15,0.76
Centro,1,Oct,93.35,0.77
Centro,1,Oct,86.63,0.65
Centro,1,Oct,80.74,0.64
Centro,1,Oct,79.9,0.67
Centro,1,Oct,79.9,0.7
Centro,1,Oct,82.42,0.73
Centro,1,Oct,90.83,0.76
Centro,1,Oct,100.08,0.77
Centro,1,Oct,92.51,0.6
Centro,1,Oct,85.78,0.58
Centro,1,Oct,76.53,0.6
Centro,1,Oct,76.53,0.65
Centro,1,Oct,79.06,0.7
Centro,1,Oct,87.47,0.77
Centro,1,Oct,93.35,0.79
Centro,1,Oct,85.78,0.68
Centro,1,Oct,83.26,0.72
Centro,1,Oct,85.78,0.79
Centro,1,Oct,85.78,0.78
Centro,1,Oct,81.58,0.73
Centro,1,Oct,87.47,0.77
Centro,1,Oct,89.99,0.77
Centro,1,Oct,84.1,0.6
Centro,1,Oct,78.22,0.55
Centro,1,Oct,74.85,0.56
Centro,1,Oct,76.53,0.59
Centro,1,Oct,81.58,0.7
Centro,1,Nov,92.51,0.79
Centro,1,Nov,95.04,0.77
Centro,1,Nov,84.1,0.5
Centro,1,Nov,74.85,0.44
Centro,1,Nov,70.65,0.45
Centro,1,Nov,68.96,0.51
Centro,1,Nov,69.8,0.56
Centro,1,Nov,77.37,0.69
Centro,1,Nov,80.74,0.72
Centro,1,Nov,74.85,0.55
Centro,1,Nov,69.8,0.47
Centro,1,Nov,66.44,0.46
Centro,1,Nov,66.44,0.5
Centro,1,Nov,67.28,0.56
Centro,1,Nov,75.69,0.72
Centro,1,Nov,79.9,0.74
Centro,1,Nov,73.17,0.52
Centro,1,Nov,68.12,0.47
Centro,1,Nov,67.28,0.48
Centro,1,Nov,68.12,0.53
Centro,1,Nov,69.8,0.58
Centro,1,Nov,79.9,0.76
Centro,1,Nov,84.1,0.77
Centro,1,Nov,76.53,0.56
Centro,1,Nov,70.65,0.52
Centro,1,Nov,69.8,0.54
Centro,1,Nov,68.12,0.53
Centro,1,Nov,70.65,0.58
Centro,1,Nov,79.06,0.74
Centro,1,Nov,84.1,0.76
Centro,1,Dec,77.37,0.52
Centro,1,Dec,73.17,0.43
Centro,1,Dec,69.8,0.37
Centro,1,Dec,69.8,0.39
Centro,1,Dec,79.06,0.55
Centro,1,Dec,100.92,0.76
Centro,1,Dec,104.29,0.77
Centro,1,Dec,92.51,0.53
Centro,1,Dec,78.22,0.37
Centro,1,Dec,72.33,0.39
Centro,1,Dec,70.65,0.43
Centro,1,Dec,71.49,0.49
Centro,1,Dec,81.58,0.65
Centro,1,Dec,84.94,0.67
Centro,1,Dec,76.53,0.4
Centro,1,Dec,69.8,0.35
Centro,1,Dec,67.28,0.34
Centro,1,Dec,66.44,0.33
Centro,1,Dec,66.44,0.35
Centro,1,Dec,73.17,0.47
Centro,1,Dec,79.06,0.53
Centro,1,Dec,76.53,0.46
Centro,1,Dec,73.17,0.41
Centro,1,Dec,74.85,0.44
Centro,1,Dec,76.53,0.49
Centro,1,Dec,83.26,0.61
Centro,1,Dec,94.2,0.71
Centro,1,Dec,100.08,0.74
Centro,1,Dec,99.24,0.67
Centro,1,Dec,103.45,0.67
Centro,1,Dec,114.38,0.69
Centro,2,Jan,148.02,0.63
Centro,2,Jan,134.57,0.59
Centro,2,Jan,126.16,0.53
Centro,2,Jan,120.27,0.48
Centro,2,Jan,114.38,0.38
Centro,2,Jan,112.7,0.34
Centro,2,Jan,109.34,0.28
Centro,2,Jan,102.61,0.3
Centro,2,Jan,97.56,0.29
Centro,2,Jan,97.56,0.31
Centro,2,Jan,96.72,0.36
Centro,2,Jan,102.61,0.49
Centro,2,Jan,105.97,0.5
Centro,2,Jan,101.77,0.34
Centro,2,Jan,95.88,0.32
Centro,2,Jan,91.67,0.37
Centro,2,Jan,93.35,0.46
Centro,2,Jan,93.35,0.52
Centro,2,Jan,102.61,0.65
Centro,2,Jan,105.97,0.66
Centro,2,Jan,98.4,0.41
Centro,2,Jan,92.51,0.32
Centro,2,Jan,89.15,0.33
Centro,2,Jan,87.47,0.34
Centro,2,Jan,90.83,0.41
Centro,2,Jan,100.92,0.6
Centro,2,Jan,104.29,0.63
Centro,2,Jan,97.56,0.38
Centro,2,Jan,91.67,0.32
Centro,2,Jan,87.47,0.32
Centro,2,Jan,86.63,0.33
Centro,2,Feb,89.15,0.39
Centro,2,Feb,100.08,0.61
Centro,2,Feb,105.13,0.64
Centro,2,Feb,97.56,0.36
Centro,2,Feb,92.51,0.29
Centro,2,Feb,88.31,0.25
Centro,2,Feb,88.31,0.28
Centro,2,Feb,90.83,0.38
Centro,2,Feb,104.29,0.6
Centro,2,Feb,111.02,0.71
Centro,2,Feb,105.13,0.54
Centro,2,Feb,98.4,0.49
Centro,2,Feb,95.88,0.51
Centro,2,Feb,97.56,0.56
Centro,2,Feb,95.88,0.54
Centro,2,Feb,106.81,0.68
Centro,2,Feb,112.7,0.7
Centro,2,Feb,102.61,0.44
Centro,2,Feb,97.56,0.4
Centro,2,Feb,95.04,0.42
Centro,2,Feb,94.2,0.48
